BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;4319;-1;<p:>;;;;;;;;;;
4320;959;0;m;;Many;m E n i:;;;;;;;
5280;1919;0;E;;Many;m E n i:;;;;;;;
7200;959;0;n;;Many;m E n i:;;;;;;;
8160;2399;0;i:;;Many;m E n i:;;;;;;;
10560;719;1;V;;of;V v;;;;;;;
11280;719;1;v;;of;V v;;;;;;;
12000;1199;2;D;;the;D V;;;;;;;
13200;719;2;V;;the;D V;;;;;;;
13920;1919;3;d;;decisions;d I s I Z V n z;;;;;;;
15840;1679;3;I;;decisions;d I s I Z V n z;;;;;;;
17520;2639;3;s;;decisions;d I s I Z V n z;;;;;;;
20160;1439;3;I;;decisions;d I s I Z V n z;;;;;;;
21600;2159;3;Z;;decisions;d I s I Z V n z;;;;;;;
23760;1439;3;V;;decisions;d I s I Z V n z;;;;;;;
25200;2159;3;n;;decisions;d I s I Z V n z;;;;;;;
27360;1679;3;z;;decisions;d I s I Z V n z;;;;;;;
29040;2879;4;p;;passed;p { s t;;;;;;;
31920;4559;4;{;;passed;p { s t;;;;;;;
36480;719;4;s;;passed;p { s t;;;;;;;
37200;1439;4;t;;passed;p { s t;;;;;;;
38640;959;5;b;;by;b aI;;;;;;;
39600;2159;5;aI;;by;b aI;;;;;;;
41760;1199;6;D;;the;D V;;;;;;;
42960;1919;6;V;;the;D V;;;;;;;
44880;2159;7;s;;city;s I t i:;;;;;;;
47040;959;7;I;;city;s I t i:;;;;;;;
48000;959;7;4;;city;s I t i:;;;;;;;
48960;2399;7;i:;;city;s I t i:;;;;;;;
51360;3119;8;k;;council;k aU n s V l;;;;;;;
54480;2639;8;aU;;council;k aU n s V l;;;;;;;
57120;1679;8;n;;council;k aU n s V l;;;;;;;
58800;1439;8;s;;council;k aU n s V l;;;;;;;
60240;719;8;V;;council;k aU n s V l;;;;;;;
60960;4679;8;l;;council;k aU n s V l;;;;;;;
65640;2039;9;Q;;are;Q R;;;;;;;
67680;1679;9;R;;are;Q R;;;;;;;
69360;1679;10;R;;results;R I z V l t s;;;;;;;
71040;719;10;I;;results;R I z V l t s;;;;;;;
71760;2159;10;z;;results;R I z V l t s;;;;;;;
73920;1439;10;V;;results;R I z V l t s;;;;;;;
75360;1199;10;l;;results;R I z V l t s;;;;;;;
76560;1439;10;t;;results;R I z V l t s;;;;;;;
78000;1199;10;s;;results;R I z V l t s;;;;;;;
79200;959;11;V;;of;V v;;;;;;;
80160;1679;11;v;;of;V v;;;;;;;
81840;1199;12;R;;recommendation;R E k V m V n d eI S V n;;;;;;;
83040;959;12;E;;recommendation;R E k V m V n d eI S V n;;;;;;;
84000;2399;12;k;;recommendation;R E k V m V n d eI S V n;;;;;;;
86400;719;12;V;;recommendation;R E k V m V n d eI S V n;;;;;;;
87120;1679;12;m;;recommendation;R E k V m V n d eI S V n;;;;;;;
88800;719;12;V;;recommendation;R E k V m V n d eI S V n;;;;;;;
89520;1919;12;n;;recommendation;R E k V m V n d eI S V n;;;;;;;
91440;959;12;d;;recommendation;R E k V m V n d eI S V n;;;;;;;
92400;2879;12;eI;;recommendation;R E k V m V n d eI S V n;;;;;;;
95280;3119;12;S;;recommendation;R E k V m V n d eI S V n;;;;;;;
98400;1439;12;V;;recommendation;R E k V m V n d eI S V n;;;;;;;
99840;2159;12;n;;recommendation;R E k V m V n d eI S V n;;;;;;;
102000;1199;13;m;;made;m eI d;;;;;;;
103200;2879;13;eI;;made;m eI d;;;;;;;
106080;1439;13;d;;made;m eI d;;;;;;;
107520;959;14;b;;by;b aI;;;;;;;
108480;2399;14;aI;;by;b aI;;;;;;;
110880;719;15;D;;the;D V;;;;;;;
111600;719;15;V;;the;D V;;;;;;;
112320;2879;16;v;;various;v E R i: V s;;;;;;;
115200;1919;16;E;;various;v E R i: V s;;;;;;;
117120;1679;16;R;;various;v E R i: V s;;;;;;;
118800;2159;16;i:;;various;v E R i: V s;;;;;;;
120960;959;16;V;;various;v E R i: V s;;;;;;;
121920;3119;16;s;;various;v E R i: V s;;;;;;;
125040;719;17;m;;municipal;m j u: n I s V p V l;;;;;;;
125760;1679;17;j;;municipal;m j u: n I s V p V l;;;;;;;
127440;959;17;u:;;municipal;m j u: n I s V p V l;;;;;;;
128400;719;17;n;;municipal;m j u: n I s V p V l;;;;;;;
129120;1439;17;I;;municipal;m j u: n I s V p V l;;;;;;;
130560;2399;17;s;;municipal;m j u: n I s V p V l;;;;;;;
132960;719;17;V;;municipal;m j u: n I s V p V l;;;;;;;
133680;1919;17;p;;municipal;m j u: n I s V p V l;;;;;;;
135600;719;17;V;;municipal;m j u: n I s V p V l;;;;;;;
136320;1199;17;l;;municipal;m j u: n I s V p V l;;;;;;;
137520;2639;18;k;;committees;k V m I t i: z;;;;;;;
140160;719;18;V;;committees;k V m I t i: z;;;;;;;
140880;1679;18;m;;committees;k V m I t i: z;;;;;;;
142560;1919;18;I;;committees;k V m I t i: z;;;;;;;
144480;719;18;t;;committees;k V m I t i: z;;;;;;;
145200;4799;18;i:;;committees;k V m I t i: z;;;;;;;
150000;3119;18;z;;committees;k V m I t i: z;;;;;;;
153120;7439;-1;<p:>;;;;;;;;;;
160560;959;19;w;;which;w I tS;;;;;;;
161520;1199;19;I;;which;w I tS;;;;;;;
162720;1439;19;tS;;which;w I tS;;;;;;;
164160;1199;20;Q;;are;Q R;;;;;;;
165360;959;20;R;;are;Q R;;;;;;;
166320;1439;-1;<p:>;;;;;;;;;;
167760;1679;21;k;;committees;k V m I t i: z;;;;;;;
