BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3359;-1;<p:>;;;;;;;;;;
3360;959;0;V;;A;V;;;;;;;
4320;2879;1;l;;lot;l Q t;;;;;;;
7200;2639;1;Q;;lot;l Q t;;;;;;;
9840;959;1;4;;lot;l Q t;;;;;;;
10800;1439;2;V;;of;V v;;;;;;;
12240;1199;2;v;;of;V v;;;;;;;
13440;1439;3;g;;good;g U d;;;;;;;
14880;1919;3;U;;good;g U d;;;;;;;
16800;1199;3;d;;good;g U d;;;;;;;
18000;3119;4;w;;work;w 3` k;;;;;;;
21120;1679;4;3`;;work;w 3` k;;;;;;;
22800;2879;4;k;;work;w 3` k;;;;;;;
25680;719;5;w;;was;w Q z;;;;;;;
26400;959;5;Q;;was;w Q z;;;;;;;
27360;2159;5;z;;was;w Q z;;;;;;;
29520;1679;6;d;;done;d V n;;;;;;;
31200;4559;6;V;;done;d V n;;;;;;;
35760;2879;6;n;;done;d V n;;;;;;;
38640;6479;-1;<p:>;;;;;;;;;;
45120;719;7;D;;the;D V;;;;;;;
45840;719;7;V;;the;D V;;;;;;;
46560;2159;8;m;;money;m V n i:;;;;;;;
48720;1919;8;V;;money;m V n i:;;;;;;;
50640;719;8;n;;money;m V n i:;;;;;;;
51360;2879;8;i:;;money;m V n i:;;;;;;;
54240;3119;9;k;;clearly;k l I R l i:;;;;;;;
57360;959;9;l;;clearly;k l I R l i:;;;;;;;
58320;959;9;I;;clearly;k l I R l i:;;;;;;;
59280;719;9;R;;clearly;k l I R l i:;;;;;;;
60000;2639;9;l;;clearly;k l I R l i:;;;;;;;
62640;1679;9;i:;;clearly;k l I R l i:;;;;;;;
64320;1679;10;d;;didn;d I d n;;;;;;;
66000;1679;10;I;;didn;d I d n;;;;;;;
67680;719;10;d;;didn;d I d n;;;;;;;
68400;3119;10;n;;didn;d I d n;;;;;;;
71520;4439;11;t;;t;t;;;;;;;
75960;5159;12;?;;all;O: l;;;;;;;
81120;2399;12;O:;;all;O: l;;;;;;;
83520;1199;12;l;;all;O: l;;;;;;;
84720;1199;13;g;;get;g E t;;;;;;;
85920;1679;13;E;;get;g E t;;;;;;;
87600;1199;13;t;;get;g E t;;;;;;;
88800;2159;14;s;;squandered;s k w Q n d 3` d;;;;;;;
90960;1439;14;k;;squandered;s k w Q n d 3` d;;;;;;;
92400;959;14;w;;squandered;s k w Q n d 3` d;;;;;;;
93360;2639;14;Q;;squandered;s k w Q n d 3` d;;;;;;;
96000;959;14;n;;squandered;s k w Q n d 3` d;;;;;;;
96960;719;14;d;;squandered;s k w Q n d 3` d;;;;;;;
97680;3839;14;3`;;squandered;s k w Q n d 3` d;;;;;;;
101520;959;14;d;;squandered;s k w Q n d 3` d;;;;;;;
102480;5039;-1;<p:>;;;;;;;;;;
107520;719;15;b;;but;b V t;;;;;;;
108240;3359;15;V;;but;b V t;;;;;;;
111600;2159;15;t;;but;b V t;;;;;;;
113760;4079;-1;<p:>;;;;;;;;;;
117840;1919;16;V;;A;V;;;;;;;
119760;2159;17;l;;lot;l Q t;;;;;;;
121920;3359;17;Q;;lot;l Q t;;;;;;;
125280;2639;18;dZ;;just;dZ V s t;;;;;;;
127920;1439;18;I;;just;dZ V s t;;;;;;;
129360;2879;18;s;;just;dZ V s t;;;;;;;
132240;1439;-1;<p:>;;;;;;;;;;
133680;959;19;w;;wasn;w Q z n;;;;;;;
134640;3839;19;Q;;wasn;w Q z n;;;;;;;
138480;1439;19;z;;wasn;w Q z n;;;;;;;
139920;1199;19;n;;wasn;w Q z n;;;;;;;
141120;2159;-1;<p:>;;;;;;;;;;
143280;4559;20;t;;t;t;;;;;;;
147840;1439;21;R;;responding;R I s p Q n d I N;;;;;;;
149280;1439;21;I;;responding;R I s p Q n d I N;;;;;;;
150720;2399;21;s;;responding;R I s p Q n d I N;;;;;;;
153120;1199;21;p;;responding;R I s p Q n d I N;;;;;;;
154320;2639;21;Q;;responding;R I s p Q n d I N;;;;;;;
156960;1199;21;n;;responding;R I s p Q n d I N;;;;;;;
158160;719;21;d;;responding;R I s p Q n d I N;;;;;;;
158880;959;21;I;;responding;R I s p Q n d I N;;;;;;;
159840;1919;21;N;;responding;R I s p Q n d I N;;;;;;;
161760;2159;22;t;;to;t u:;;;;;;;
163920;1439;22;u:;;to;t u:;;;;;;;
165360;719;23;n;;needs;n i: d z;;;;;;;
166080;3119;23;i:;;needs;n i: d z;;;;;;;
169200;719;23;d;;needs;n i: d z;;;;;;;
169920;1199;23;z;;needs;n i: d z;;;;;;;
171120;2159;24;Q;;on;Q n;;;;;;;
173280;959;24;n;;on;Q n;;;;;;;
174240;719;25;D;;the;D V;;;;;;;
174960;719;25;V;;the;D V;;;;;;;
175680;2399;26;g;;ground;g R aU n d;;;;;;;
178080;2159;26;R;;ground;g R aU n d;;;;;;;
180240;4559;26;aU;;ground;g R aU n d;;;;;;;
184800;1439;26;n;;ground;g R aU n d;;;;;;;
186240;1439;26;d;;ground;g R aU n d;;;;;;;
187680;21407;-1;<p:>;;;;;;;;;;
