BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3359;-1;<p:>;;;;;;;;;;
3360;2399;0;aI;;I;aI;;;;;;;
5760;1439;1;I;;essentially;I s E n S V l i:;;;;;;;
7200;2879;1;s;;essentially;I s E n S V l i:;;;;;;;
10080;1679;1;E;;essentially;I s E n S V l i:;;;;;;;
11760;1439;1;n;;essentially;I s E n S V l i:;;;;;;;
13200;1679;1;S;;essentially;I s E n S V l i:;;;;;;;
14880;719;1;V;;essentially;I s E n S V l i:;;;;;;;
15600;1199;1;l;;essentially;I s E n S V l i:;;;;;;;
16800;2159;1;i:;;essentially;I s E n S V l i:;;;;;;;
18960;2639;2;t;;took;t U k;;;;;;;
21600;1199;2;U;;took;t U k;;;;;;;
22800;1679;2;k;;took;t U k;;;;;;;
24480;1199;3;D;;the;D V;;;;;;;
25680;959;3;V;;the;D V;;;;;;;
26640;3119;4;s;;seed;s i: d;;;;;;;
29760;2639;4;i:;;seed;s i: d;;;;;;;
32400;959;4;d;;seed;s i: d;;;;;;;
33360;719;5;V;;of;V v;;;;;;;
34080;1199;5;v;;of;V v;;;;;;;
35280;719;6;D;;that;D { t;;;;;;;
36000;2639;6;{;;that;D { t;;;;;;;
38640;719;6;t;;that;D { t;;;;;;;
39360;2399;7;aI;;idea;aI d i: V;;;;;;;
41760;2159;7;d;;idea;aI d i: V;;;;;;;
43920;3839;7;i:;;idea;aI d i: V;;;;;;;
47760;2159;7;V;;idea;aI d i: V;;;;;;;
49920;2639;8;t;;to;t u:;;;;;;;
52560;1199;8;I;;to;t u:;;;;;;;
53760;3119;9;t;;try;t R aI;;;;;;;
56880;1199;9;R;;try;t R aI;;;;;;;
58080;2159;9;aI;;try;t R aI;;;;;;;
60240;1199;10;t;;to;t u:;;;;;;;
61440;1439;10;I;;to;t u:;;;;;;;
62880;2639;11;t;;tell;t E l;;;;;;;
65520;1679;11;E;;tell;t E l;;;;;;;
67200;1679;11;l;;tell;t E l;;;;;;;
68880;959;12;V;;a;V;;;;;;;
69840;2879;13;b;;big;b I g;;;;;;;
72720;1919;13;I;;big;b I g;;;;;;;
74640;1199;13;g;;big;b I g;;;;;;;
75840;1679;14;h;;historical;h I s t O: R I k V l;;;;;;;
77520;1199;14;I;;historical;h I s t O: R I k V l;;;;;;;
78720;2399;14;s;;historical;h I s t O: R I k V l;;;;;;;
81120;1199;14;t;;historical;h I s t O: R I k V l;;;;;;;
82320;2159;14;O:;;historical;h I s t O: R I k V l;;;;;;;
84480;1199;14;R;;historical;h I s t O: R I k V l;;;;;;;
85680;719;14;I;;historical;h I s t O: R I k V l;;;;;;;
86400;1919;14;k;;historical;h I s t O: R I k V l;;;;;;;
88320;719;14;V;;historical;h I s t O: R I k V l;;;;;;;
89040;1679;14;l;;historical;h I s t O: R I k V l;;;;;;;
90720;2639;15;E;;epic;E p I k;;;;;;;
93360;2159;15;p;;epic;E p I k;;;;;;;
95520;4559;15;I;;epic;E p I k;;;;;;;
100080;959;15;k;;epic;E p I k;;;;;;;
101040;6479;-1;<p:>;;;;;;;;;;
107520;719;16;b;;but;b V t;;;;;;;
108240;1919;16;V;;but;b V t;;;;;;;
110160;719;16;t;;but;b V t;;;;;;;
110880;1439;17;f;;from;f R V m;;;;;;;
112320;719;17;R;;from;f R V m;;;;;;;
113040;719;17;V;;from;f R V m;;;;;;;
113760;1199;17;m;;from;f R V m;;;;;;;
114960;719;18;D;;the;D V;;;;;;;
115680;1199;18;V;;the;D V;;;;;;;
116880;3119;19;s;;street;s t R i: t;;;;;;;
120000;1439;19;t;;street;s t R i: t;;;;;;;
121440;719;19;R;;street;s t R i: t;;;;;;;
122160;2879;19;i:;;street;s t R i: t;;;;;;;
125040;1439;20;l;;level;l E v V l;;;;;;;
126480;2639;20;E;;level;l E v V l;;;;;;;
129120;1439;20;v;;level;l E v V l;;;;;;;
130560;719;20;V;;level;l E v V l;;;;;;;
131280;3599;20;l;;level;l E v V l;;;;;;;
134880;5519;-1;<p:>;;;;;;;;;;
140400;1439;21;D;;the;D V;;;;;;;
141840;719;21;V;;the;D V;;;;;;;
142560;3599;22;E;;everyman;E v R i: m V n;;;;;;;
146160;1199;22;v;;everyman;E v R i: m V n;;;;;;;
147360;959;22;R;;everyman;E v R i: m V n;;;;;;;
148320;1439;22;i:;;everyman;E v R i: m V n;;;;;;;
149760;1439;22;m;;everyman;E v R i: m V n;;;;;;;
151200;2159;22;V;;everyman;E v R i: m V n;;;;;;;
153360;3839;22;n;;everyman;E v R i: m V n;;;;;;;
157200;2399;23;s;;s;s;;;;;;;
159600;2159;24;p;;point;p OI n t;;;;;;;
161760;1919;24;OI;;point;p OI n t;;;;;;;
163680;719;24;n;;point;p OI n t;;;;;;;
164400;719;24;t;;point;p OI n t;;;;;;;
165120;959;25;V;;of;V v;;;;;;;
166080;959;25;v;;of;V v;;;;;;;
167040;1919;26;v;;view;v j u:;;;;;;;
168960;3839;26;j;;view;v j u:;;;;;;;
172800;3359;26;u:;;view;v j u:;;;;;;;
176160;20831;-1;<p:>;;;;;;;;;;
