BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3359;-1;<p:>;;;;;;;;;;
3360;2159;0;V;;According;V k O: R d I N;;;;;;;
5520;2159;0;k;;According;V k O: R d I N;;;;;;;
7680;959;0;O:;;According;V k O: R d I N;;;;;;;
8640;959;0;R;;According;V k O: R d I N;;;;;;;
9600;719;0;d;;According;V k O: R d I N;;;;;;;
10320;719;0;I;;According;V k O: R d I N;;;;;;;
11040;1679;0;N;;According;V k O: R d I N;;;;;;;
12720;1679;1;t;;to;t u:;;;;;;;
14400;959;1;@;;to;t u:;;;;;;;
15360;1439;2;v;;Vogue;v @U g;;;;;;;
16800;3359;2;@U;;Vogue;v @U g;;;;;;;
20160;1679;2;g;;Vogue;v @U g;;;;;;;
21840;1199;3;m;;magazine;m { g V z i: n;;;;;;;
23040;2639;3;{;;magazine;m { g V z i: n;;;;;;;
25680;1679;3;g;;magazine;m { g V z i: n;;;;;;;
27360;1199;3;V;;magazine;m { g V z i: n;;;;;;;
28560;2159;3;z;;magazine;m { g V z i: n;;;;;;;
30720;3119;3;i:;;magazine;m { g V z i: n;;;;;;;
33840;6719;3;n;;magazine;m { g V z i: n;;;;;;;
40560;1439;4;s;;s;s;;;;;;;
42000;2399;5;E;;Edward;E d w 3` d;;;;;;;
44400;1919;5;d;;Edward;E d w 3` d;;;;;;;
46320;959;5;w;;Edward;E d w 3` d;;;;;;;
47280;1679;5;3`;;Edward;E d w 3` d;;;;;;;
48960;1199;5;d;;Edward;E d w 3` d;;;;;;;
50160;1439;6;b;;Barsamian;b Q R s eI m i: V n;;;;;;;
51600;719;6;Q;;Barsamian;b Q R s eI m i: V n;;;;;;;
52320;1679;6;R;;Barsamian;b Q R s eI m i: V n;;;;;;;
54000;3119;6;s;;Barsamian;b Q R s eI m i: V n;;;;;;;
57120;2639;6;eI;;Barsamian;b Q R s eI m i: V n;;;;;;;
59760;1199;6;m;;Barsamian;b Q R s eI m i: V n;;;;;;;
60960;3839;6;i:;;Barsamian;b Q R s eI m i: V n;;;;;;;
64800;719;6;V;;Barsamian;b Q R s eI m i: V n;;;;;;;
65520;2159;6;n;;Barsamian;b Q R s eI m i: V n;;;;;;;
67680;5279;-1;<p:>;;;;;;;;;;
72960;1439;7;R;;Rachel;R eI tS V l;;;;;;;
74400;1439;7;eI;;Rachel;R eI tS V l;;;;;;;
75840;2159;7;tS;;Rachel;R eI tS V l;;;;;;;
78000;1439;7;V;;Rachel;R eI tS V l;;;;;;;
79440;5519;7;l;;Rachel;R eI tS V l;;;;;;;
84960;2879;8;s;;s;s;;;;;;;
87840;1199;-1;<p:>;;;;;;;;;;
89040;3119;9;{;;fashion;f { S V n;;;;;;;
92160;2879;9;S;;fashion;f { S V n;;;;;;;
95040;719;9;V;;fashion;f { S V n;;;;;;;
95760;2159;9;n;;fashion;f { S V n;;;;;;;
97920;2399;10;s;;sense;s E n s;;;;;;;
100320;2159;10;E;;sense;s E n s;;;;;;;
102480;1439;10;n;;sense;s E n s;;;;;;;
103920;1679;10;s;;sense;s E n s;;;;;;;
105600;1199;11;I;;inspired;I n s p aI 3` d;;;;;;;
106800;1679;11;n;;inspired;I n s p aI 3` d;;;;;;;
108480;2159;11;s;;inspired;I n s p aI 3` d;;;;;;;
110640;959;11;p;;inspired;I n s p aI 3` d;;;;;;;
111600;3839;11;aI;;inspired;I n s p aI 3` d;;;;;;;
115440;2399;11;3`;;inspired;I n s p aI 3` d;;;;;;;
117840;1679;11;d;;inspired;I n s p aI 3` d;;;;;;;
119520;1679;-1;<p:>;;;;;;;;;;
121200;719;12;D;;the;D V;;;;;;;
121920;719;12;V;;the;D V;;;;;;;
122640;1199;-1;<p:>;;;;;;;;;;
123840;2639;13;k;;cool;k u: l;;;;;;;
126480;959;13;u:;;cool;k u: l;;;;;;;
127440;4079;13;l;;cool;k u: l;;;;;;;
131520;719;14;n;;New;n u:;;;;;;;
132240;959;14;u;;New;n u:;;;;;;;
133200;1919;15;j;;York;j O: R k;;;;;;;
135120;1199;15;O:;;York;j O: R k;;;;;;;
136320;959;15;R;;York;j O: R k;;;;;;;
137280;2639;15;k;;York;j O: R k;;;;;;;
139920;1679;16;l;;look;l U k;;;;;;;
141600;2159;16;U;;look;l U k;;;;;;;
143760;719;16;k;;look;l U k;;;;;;;
144480;24287;-1;<p:>;;;;;;;;;;
