BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;8399;-1;<p:>;;;;;;;;;;
8400;959;0;3`;;Early;3` l i:;;;;;;;
9360;2639;0;l;;Early;3` l i:;;;;;;;
12000;3119;0;i:;;Early;3` l i:;;;;;;;
15120;2399;-1;<p:>;;;;;;;;;;
17520;14879;1;l;;life;l aI f;;;;;;;
32400;5279;1;aI;;life;l aI f;;;;;;;
37680;1679;1;f;;life;l aI f;;;;;;;
39360;2159;2;?;;and;V n d;;;;;;;
41520;959;2;V;;and;V n d;;;;;;;
42480;1919;2;n;;and;V n d;;;;;;;
44400;1199;3;m;;modeling;m Q d V l I N;;;;;;;
45600;2399;3;Q;;modeling;m Q d V l I N;;;;;;;
48000;959;3;4;;modeling;m Q d V l I N;;;;;;;
48960;719;3;V;;modeling;m Q d V l I N;;;;;;;
49680;1919;3;l;;modeling;m Q d V l I N;;;;;;;
51600;719;3;I;;modeling;m Q d V l I N;;;;;;;
52320;2159;3;N;;modeling;m Q d V l I N;;;;;;;
54480;2399;4;k;;career;k 3` I R;;;;;;;
56880;2399;4;3`;;career;k 3` I R;;;;;;;
59280;2159;4;I;;career;k 3` I R;;;;;;;
61440;3119;4;R;;career;k 3` I R;;;;;;;
64560;959;5;f;;Fernandez;f 3` n { n d E z;;;;;;;
65520;1199;5;3`;;Fernandez;f 3` n { n d E z;;;;;;;
66720;3119;5;n;;Fernandez;f 3` n { n d E z;;;;;;;
69840;1919;5;{;;Fernandez;f 3` n { n d E z;;;;;;;
71760;959;5;n;;Fernandez;f 3` n { n d E z;;;;;;;
72720;1439;5;d;;Fernandez;f 3` n { n d E z;;;;;;;
74160;1919;5;E;;Fernandez;f 3` n { n d E z;;;;;;;
76080;719;5;z;;Fernandez;f 3` n { n d E z;;;;;;;
76800;2639;-1;<p:>;;;;;;;;;;
79440;959;6;w;;was;w Q z;;;;;;;
80400;4319;6;Q;;was;w Q z;;;;;;;
84720;3839;6;z;;was;w Q z;;;;;;;
88560;21599;-1;<p:>;;;;;;;;;;
110160;2639;7;b;;born;b O: R n;;;;;;;
112800;959;7;O:;;born;b O: R n;;;;;;;
113760;719;7;R;;born;b O: R n;;;;;;;
114480;1919;7;n;;born;b O: R n;;;;;;;
116400;719;8;Q;;on;Q n;;;;;;;
117120;719;8;n;;on;Q n;;;;;;;
117840;959;9;I;;eleven;I l E v V n;;;;;;;
118800;719;9;l;;eleven;I l E v V n;;;;;;;
119520;719;9;E;;eleven;I l E v V n;;;;;;;
120240;719;9;v;;eleven;I l E v V n;;;;;;;
120960;1679;9;V;;eleven;I l E v V n;;;;;;;
122640;719;9;n;;eleven;I l E v V n;;;;;;;
123360;959;10;Q;;August;Q g V s t;;;;;;;
124320;2879;10;g;;August;Q g V s t;;;;;;;
127200;2399;10;V;;August;Q g V s t;;;;;;;
129600;719;10;s;;August;Q g V s t;;;;;;;
130320;1919;10;t;;August;Q g V s t;;;;;;;
132240;3119;11;w;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
135360;3359;11;V;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
138720;1439;11;n;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
140160;719;11;T;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
140880;5519;11;aU;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
146400;3119;11;z;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
149520;1679;11;V;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
151200;719;11;n;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
151920;719;11;n;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
152640;1919;11;I;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
154560;719;11;n;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
155280;719;11;h;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
156000;1919;11;V;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
157920;2159;11;n;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
160080;6239;11;d;;one-thousand-ninehundredeightyfive;w V n T aU z V n d n I n h V n d R E d V t aI f aI v;;;;;;;
