Word,Duration,Surprisal
the,0.29669999999999985,1.1926450779423958
early,0.039987499999999995,8.465279591095076
roman,0,8.344295907915816
catholic,0,2.914270125974116
church,0,2.070389327891398
's,0,3.989615517852195
demonisation,0.07795416666666667,12.773448322538655
of,0.18432500000000013,-0.0
pagan,0.03997916666666667,12.4775812067488
deities,0.059975,4.78135971352466
",",0,2.819427754358179
merrifield,0,12.946414273278187
states,0.042979166666666666,3.700439718141092
that,0.0449625,3.4397645851812206
the,0.29669999999999985,2.6809698539428672
church,0,8.179677428356007
continued,0.0574625,8.920352855415082
propagating,0.06145833333333333,8.105908508571158
a,0.04395833333333334,1.0
form,0.031983333333333336,9.82089693944723
of,0.18432500000000013,1.7646219370690717
polytheism,0.08395833333333332,14.799509301636162
through,0.034975,1.5849625007211563
the,0.29669999999999985,1.4780472968046443
``,0,7.261951431385549
cult,0.028983333333333333,12.467096033905749
of,0.18432500000000013,2.3870231231092474
the,0.29669999999999985,1.7222763184864012
blessed,0.04097916666666667,15.996661051611387
dead,0.0369875,2.4594316186372973
``,0,6.0370893187352195
",",0,3.6526737873389536
the,0.29669999999999985,3.6747716828568215
veneration,0.06096666666666666,14.996661051611387
of,0.18432500000000013,0.7369655941662062
saints,0.03847916666666667,12.629584300193851
and,0.2523041666666668,2.4594316186372973
martyrs,0.054974999999999996,14.630779031648395
",",0,1.3219280948873622
throughout,0.03097916666666667,13.061891490698123
the,0.29669999999999985,0.7378871496372663
middle,0,9.587270115473686
ages,0,2.9634741239748865
.xenon,0,6.129283016944967
at,0.03597499999999999,-0.0
80,0,10.825117794058356
%,0,2.882643049361841
concentration,0.11995,8.784634845557521
along,0.03897916666666667,4.209453365628949
with,0.09490416666666668,1.2600256559614558
20,0,11.08270347625593
%,0,4.82958486944107
oxygen,0.08996666666666668,8.199672344836364
rapidly,0.052970833333333335,4.392317422778761
produces,0.05196666666666666,5.832890014164742
the,0.29669999999999985,2.0
unconsciousness,0.07695416666666666,15.996661051611387
of,0.18432500000000013,0.4150374992788438
general,0.044975,11.4775812067488
anesthesia,0.06896666666666668,8.541096615349524
(,0,2.0
and,0.2523041666666668,7.192352963103946
has,0.037975,8.016069187533187
been,0.034975000000000006,2.0413609705354743
used,0.05396666666666667,5.133266530863464
for,0.12594166666666667,3.059531203443478
this,0.062975,6.90636778529626
",",0,5.1551344548577545
as,0.08444166666666665,6.1580096449619415
discussed,0.04597083333333333,11.878338349895198
above,0.04398333333333333,4.754887502163469
),0,5.154818109052104
.balliett,0,13.551347783117778
stated,0.039975000000000004,-0.0
that,0.0449625,0.63922409450763
she,0.013991666666666666,5.95098317979169
wanted,0.036974999999999994,7.909393102811689
to,0.13490416666666669,0.6548645139513125
convey,0.03997916666666667,12.10047983719715
how,0.031983333333333336,3.0
coincidences,0.08844999999999999,7.820178962415189
were,0.06095416666666667,1.0
noticeable,0.0629625,11.840581250560753
and,0.2523041666666668,2.584962500721156
felt,0.026987499999999998,11.171347413011098
meaningful,0.06496666666666667,7.6865005271832185
",",0,1.8073549220576042
and,0.2523041666666668,3.13559549591701
how,0.031983333333333336,10.543316190398057
they,0.021983333333333334,4.732716121164849
could,0.0169875,5.484464117100304
matter,0.031983333333333336,9.014020470314934
even,0.027983333333333336,5.794415866350105
if,0.010991666666666667,4.14713968152601
they,0.021983333333333334,3.5030513029345385
were,0.06095416666666667,2.740055539748535
unexplainable,0.08094583333333333,11.840581250560753
.he,0,1.0
is,0.029983333333333334,-0.0
best,0.0089875,9.606590280370527
known,0.034975000000000006,4.800899899920305
for,0.12594166666666667,3.5849625007211565
his,0.011983333333333334,5.4664556173783865
time,0.0679625,7.647218556965484
with,0.09490416666666668,5.567368440706418
world,0,10.667665976977085
wrestling,0,7.344789052696175
entertainment,0,4.345774836841731
(,0,6.169925001442312
wwe,0,11.54990496772203
),0,2.523561956057013
",",0,2.2469964614545406
where,0.0644625,7.010229370875629
he,0.013987500000000002,2.7417035131728693
wrestled,0.04695416666666667,11.503328856626663
as,0.08444166666666665,1.7004397181410922
the,0.29669999999999985,2.7548635516510562
hurricane,0,9.898628968650861
",",0,4.422532035825768
gregory,0,14.324925896531918
helms,0,2.321928094887362
",",0,4.215012890970851
and,0.2523041666666668,3.13559549591701
hurricane,0,13.308850936761035
helms,0,6.855491443101875
and,0.2523041666666668,3.437405312307298
also,0.04696666666666667,8.575496596147206
for,0.12594166666666667,8.73809225962049
his,0.011983333333333334,5.4664556173783865
time,0.0679625,7.647218556965484
with,0.09490416666666668,5.567368440706418
world,0,10.667665976977085
championship,0,5.656733059010915
wrestling,0,4.78135971352466
(,0,2.760812336120574
wcw,0,10.964942467000872
),0,2.263034405833794
",",0,2.2469964614545406
where,0.0644625,7.010229370875629
he,0.013987500000000002,2.7417035131728693
wrestled,0.04695416666666667,11.503328856626663
as,0.08444166666666665,1.7004397181410922
``,0,4.15553081872565
sugar,0,12.204061628071955
``,0,3.0
shane,0,12.789024128793109
helms,0,1.3785116232537298
.there,0,7.022367813028454
is,0.029983333333333334,-0.0
however,0.04897916666666667,11.928518375257891
no,0.020991666666666665,8.86418614465428
evidence,0.04796666666666667,6.0900065299038175
of,0.18432500000000013,2.429987840744815
the,0.29669999999999985,1.7222763184864012
existence,0.06696250000000001,11.639109046993305
of,0.18432500000000013,1.14359085362885
such,0.0279875,10.184799457520954
a,0.04395833333333334,3.797377110862028
person,0.04997916666666667,9.65097193800492
",",0,3.4262647547020983
and,0.2523041666666668,3.13559549591701
condoms,0.04697083333333334,14.630779031648395
had,0.0159875,5.992466327314593
