BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3839;-1;<p:>;;;;;;;;;;
3840;1919;0;R;;Rajaditya;R V dZ V d i: t i: V;;;;;;;
5760;1439;0;V;;Rajaditya;R V dZ V d i: t i: V;;;;;;;
7200;1919;0;dZ;;Rajaditya;R V dZ V d i: t i: V;;;;;;;
9120;719;0;V;;Rajaditya;R V dZ V d i: t i: V;;;;;;;
9840;1919;0;d;;Rajaditya;R V dZ V d i: t i: V;;;;;;;
11760;1919;0;i:;;Rajaditya;R V dZ V d i: t i: V;;;;;;;
13680;959;0;4;;Rajaditya;R V dZ V d i: t i: V;;;;;;;
14640;4079;0;i:;;Rajaditya;R V dZ V d i: t i: V;;;;;;;
18720;1919;0;V;;Rajaditya;R V dZ V d i: t i: V;;;;;;;
20640;3599;-1;<p:>;;;;;;;;;;
24240;959;1;V;;a;V;;;;;;;
25200;3119;2;n;;native;n eI t I v;;;;;;;
28320;2159;2;eI;;native;n eI t I v;;;;;;;
30480;959;2;4;;native;n eI t I v;;;;;;;
31440;1679;2;I;;native;n eI t I v;;;;;;;
33120;719;2;v;;native;n eI t I v;;;;;;;
33840;1679;3;V;;of;V v;;;;;;;
35520;1199;3;v;;of;V v;;;;;;;
36720;3119;4;i:;;either;i: D 3`;;;;;;;
39840;959;4;D;;either;i: D 3`;;;;;;;
40800;2159;4;3`;;either;i: D 3`;;;;;;;
42960;2879;5;p;;Puvinabage;p j u: v V n { b eI dZ;;;;;;;
45840;959;5;j;;Puvinabage;p j u: v V n { b eI dZ;;;;;;;
46800;959;5;u:;;Puvinabage;p j u: v V n { b eI dZ;;;;;;;
47760;719;5;v;;Puvinabage;p j u: v V n { b eI dZ;;;;;;;
48480;959;5;V;;Puvinabage;p j u: v V n { b eI dZ;;;;;;;
49440;1199;5;n;;Puvinabage;p j u: v V n { b eI dZ;;;;;;;
50640;959;5;{;;Puvinabage;p j u: v V n { b eI dZ;;;;;;;
51600;1919;5;b;;Puvinabage;p j u: v V n { b eI dZ;;;;;;;
53520;3359;5;eI;;Puvinabage;p j u: v V n { b eI dZ;;;;;;;
56880;3119;5;dZ;;Puvinabage;p j u: v V n { b eI dZ;;;;;;;
60000;2399;-1;<p:>;;;;;;;;;;
62400;1439;6;O:;;or;O: R;;;;;;;
63840;1919;6;R;;or;O: R;;;;;;;
65760;2159;7;R;;Raibhag;R eI b { g;;;;;;;
67920;3119;7;eI;;Raibhag;R eI b { g;;;;;;;
71040;1919;7;b;;Raibhag;R eI b { g;;;;;;;
72960;4799;7;{;;Raibhag;R eI b { g;;;;;;;
77760;1679;7;g;;Raibhag;R eI b { g;;;;;;;
79440;3599;-1;<p:>;;;;;;;;;;
83040;1439;8;D;;the;D V;;;;;;;
84480;719;8;V;;the;D V;;;;;;;
85200;2399;9;m;;modern;m Q d 3` n;;;;;;;
87600;2879;9;Q;;modern;m Q d 3` n;;;;;;;
90480;719;9;d;;modern;m Q d 3` n;;;;;;;
91200;1919;9;3`;;modern;m Q d 3` n;;;;;;;
93120;1439;9;n;;modern;m Q d 3` n;;;;;;;
94560;1199;10;b;;Belgaum;b E l g O: m;;;;;;;
95760;1919;10;E;;Belgaum;b E l g O: m;;;;;;;
97680;1439;10;l;;Belgaum;b E l g O: m;;;;;;;
99120;1439;10;g;;Belgaum;b E l g O: m;;;;;;;
100560;2639;10;O:;;Belgaum;b E l g O: m;;;;;;;
103200;1199;10;m;;Belgaum;b E l g O: m;;;;;;;
104400;2159;11;d;;district;d I s t R I k t;;;;;;;
106560;1679;11;I;;district;d I s t R I k t;;;;;;;
108240;1919;11;s;;district;d I s t R I k t;;;;;;;
110160;1439;11;t;;district;d I s t R I k t;;;;;;;
111600;3119;11;R;;district;d I s t R I k t;;;;;;;
114720;959;11;I;;district;d I s t R I k t;;;;;;;
115680;3119;11;t;;district;d I s t R I k t;;;;;;;
118800;6239;-1;<p:>;;;;;;;;;;
125040;959;12;w;;was;w Q z;;;;;;;
126000;719;12;Q;;was;w Q z;;;;;;;
126720;1439;12;z;;was;w Q z;;;;;;;
128160;1199;13;I;;in;I n;;;;;;;
129360;719;13;n;;in;I n;;;;;;;
130080;719;14;D;;the;D V;;;;;;;
130800;1679;14;V;;the;D V;;;;;;;
132480;1919;15;h;;Hoysala;h OI s Q l V;;;;;;;
134400;2159;15;OI;;Hoysala;h OI s Q l V;;;;;;;
136560;3359;15;s;;Hoysala;h OI s Q l V;;;;;;;
139920;1199;15;Q;;Hoysala;h OI s Q l V;;;;;;;
141120;719;15;l;;Hoysala;h OI s Q l V;;;;;;;
141840;1199;15;V;;Hoysala;h OI s Q l V;;;;;;;
143040;1199;-1;<p:>;;;;;;;;;;
144240;3119;16;k;;court;k O: R t;;;;;;;
147360;2159;16;O:;;court;k O: R t;;;;;;;
149520;1919;16;R;;court;k O: R t;;;;;;;
151440;1919;16;t;;court;k O: R t;;;;;;;
153360;1439;17;d;;during;d U R I N;;;;;;;
154800;959;17;U;;during;d U R I N;;;;;;;
155760;1679;17;R;;during;d U R I N;;;;;;;
157440;959;17;I;;during;d U R I N;;;;;;;
158400;1199;17;N;;during;d U R I N;;;;;;;
159600;719;18;D;;the;D V;;;;;;;
160320;719;18;V;;the;D V;;;;;;;
161040;2159;19;d;;days;d eI z;;;;;;;
163200;3839;19;eI;;days;d eI z;;;;;;;
167040;1919;19;z;;days;d eI z;;;;;;;
168960;959;20;V;;of;V v;;;;;;;
169920;1199;20;v;;of;V v;;;;;;;
171120;1439;-1;<p:>;;;;;;;;;;
172560;2399;21;k;;King;k I N;;;;;;;
174960;1439;21;i:;;King;k I N;;;;;;;
176400;2159;21;N;;King;k I N;;;;;;;
178560;959;22;v;;Veera;v I R V;;;;;;;
179520;1919;22;I;;Veera;v I R V;;;;;;;
181440;1679;22;R;;Veera;v I R V;;;;;;;
183120;959;22;V;;Veera;v I R V;;;;;;;
184080;2639;23;b;;Ballala;b { l eI l V;;;;;;;
186720;719;23;{;;Ballala;b { l eI l V;;;;;;;
187440;4319;23;l;;Ballala;b { l eI l V;;;;;;;
191760;959;23;eI;;Ballala;b { l eI l V;;;;;;;
192720;3119;23;l;;Ballala;b { l eI l V;;;;;;;
195840;2639;23;V;;Ballala;b { l eI l V;;;;;;;
