BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3839;-1;<p:>;;;;;;;;;;
3840;1199;0;n;;Norman;n O: R m V n;;;;;;;
5040;1919;0;O:;;Norman;n O: R m V n;;;;;;;
6960;719;0;R;;Norman;n O: R m V n;;;;;;;
7680;959;0;m;;Norman;n O: R m V n;;;;;;;
8640;1199;0;V;;Norman;n O: R m V n;;;;;;;
9840;1919;0;n;;Norman;n O: R m V n;;;;;;;
11760;2159;1;s;;settlements;s E t V l m V n t s;;;;;;;
13920;1919;1;E;;settlements;s E t V l m V n t s;;;;;;;
15840;959;1;4;;settlements;s E t V l m V n t s;;;;;;;
16800;1199;1;V;;settlements;s E t V l m V n t s;;;;;;;
18000;719;1;l;;settlements;s E t V l m V n t s;;;;;;;
18720;1919;1;m;;settlements;s E t V l m V n t s;;;;;;;
20640;1679;1;V;;settlements;s E t V l m V n t s;;;;;;;
22320;959;1;n;;settlements;s E t V l m V n t s;;;;;;;
23280;959;1;t;;settlements;s E t V l m V n t s;;;;;;;
24240;1319;1;s;;settlements;s E t V l m V n t s;;;;;;;
25560;1319;2;w;;were;w i: R;;;;;;;
26880;959;2;i:;;were;w i: R;;;;;;;
27840;719;2;R;;were;w i: R;;;;;;;
28560;3599;3;k;;characterised;k E R V k t 3` aI z d;;;;;;;
32160;719;3;E;;characterised;k E R V k t 3` aI z d;;;;;;;
32880;1439;3;R;;characterised;k E R V k t 3` aI z d;;;;;;;
34320;719;3;V;;characterised;k E R V k t 3` aI z d;;;;;;;
35040;959;3;k;;characterised;k E R V k t 3` aI z d;;;;;;;
36000;1919;3;t;;characterised;k E R V k t 3` aI z d;;;;;;;
37920;3599;3;3`;;characterised;k E R V k t 3` aI z d;;;;;;;
41520;3839;3;aI;;characterised;k E R V k t 3` aI z d;;;;;;;
45360;1199;3;z;;characterised;k E R V k t 3` aI z d;;;;;;;
46560;959;3;d;;characterised;k E R V k t 3` aI z d;;;;;;;
47520;1919;4;b;;by;b aI;;;;;;;
49440;2159;4;aI;;by;b aI;;;;;;;
51600;1199;5;D;;the;D V;;;;;;;
52800;719;5;V;;the;D V;;;;;;;
53520;1919;6;I;;establishment;I s t { b l I S m V n t;;;;;;;
55440;2399;6;s;;establishment;I s t { b l I S m V n t;;;;;;;
57840;1199;6;t;;establishment;I s t { b l I S m V n t;;;;;;;
59040;2639;6;{;;establishment;I s t { b l I S m V n t;;;;;;;
61680;1439;6;b;;establishment;I s t { b l I S m V n t;;;;;;;
63120;719;6;l;;establishment;I s t { b l I S m V n t;;;;;;;
63840;1199;6;I;;establishment;I s t { b l I S m V n t;;;;;;;
65040;2639;6;S;;establishment;I s t { b l I S m V n t;;;;;;;
67680;959;6;m;;establishment;I s t { b l I S m V n t;;;;;;;
68640;959;6;V;;establishment;I s t { b l I S m V n t;;;;;;;
69600;959;6;n;;establishment;I s t { b l I S m V n t;;;;;;;
70560;1199;6;t;;establishment;I s t { b l I S m V n t;;;;;;;
71760;719;7;V;;of;V v;;;;;;;
72480;959;7;v;;of;V v;;;;;;;
73440;2159;8;b;;baronies;b E R V n i: z;;;;;;;
75600;2879;8;E;;baronies;b E R V n i: z;;;;;;;
78480;1679;8;R;;baronies;b E R V n i: z;;;;;;;
80160;719;8;V;;baronies;b E R V n i: z;;;;;;;
80880;719;8;n;;baronies;b E R V n i: z;;;;;;;
81600;5039;8;i:;;baronies;b E R V n i: z;;;;;;;
86640;2879;8;z;;baronies;b E R V n i: z;;;;;;;
89520;4799;-1;<p:>;;;;;;;;;;
94320;1199;9;m;;manors;m { n 3` z;;;;;;;
95520;3119;9;{;;manors;m { n 3` z;;;;;;;
98640;1439;9;n;;manors;m { n 3` z;;;;;;;
100080;3599;9;3`;;manors;m { n 3` z;;;;;;;
103680;3359;9;z;;manors;m { n 3` z;;;;;;;
107040;3119;-1;<p:>;;;;;;;;;;
110160;3599;10;t;;towns;t aU n z;;;;;;;
113760;4559;10;aU;;towns;t aU n z;;;;;;;
118320;2639;10;n;;towns;t aU n z;;;;;;;
120960;2159;10;z;;towns;t aU n z;;;;;;;
123120;2879;-1;<p:>;;;;;;;;;;
126000;959;11;V;;and;V n d;;;;;;;
126960;1439;11;n;;and;V n d;;;;;;;
128400;719;12;D;;the;D V;;;;;;;
129120;959;12;V;;the;D V;;;;;;;
130080;3599;13;s;;seeds;s i: d z;;;;;;;
133680;3599;13;i:;;seeds;s i: d z;;;;;;;
137280;719;13;d;;seeds;s i: d z;;;;;;;
138000;959;13;z;;seeds;s i: d z;;;;;;;
138960;959;14;V;;of;V v;;;;;;;
139920;959;14;v;;of;V v;;;;;;;
140880;719;15;D;;the;D V;;;;;;;
141600;959;15;V;;the;D V;;;;;;;
142560;2639;16;m;;modern;m Q d 3` n;;;;;;;
