BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3119;-1;<p:>;;;;;;;;;;
3120;719;0;h;;He;h i:;;;;;;;
3840;1679;0;i:;;He;h i:;;;;;;;
5520;2879;1;I;;is;I z;;;;;;;
8400;959;1;z;;is;I z;;;;;;;
9360;719;2;b;;best;b E s t;;;;;;;
10080;719;2;E;;best;b E s t;;;;;;;
10800;719;2;s;;best;b E s t;;;;;;;
11520;719;3;n;;known;n @U n;;;;;;;
12240;959;3;@U;;known;n @U n;;;;;;;
13200;719;3;n;;known;n @U n;;;;;;;
13920;959;4;O:;;for;f O: R;;;;;;;
14880;719;4;R;;for;f O: R;;;;;;;
15600;719;5;I;;his;h I z;;;;;;;
16320;719;5;z;;his;h I z;;;;;;;
17040;1199;6;t;;time;t aI m;;;;;;;
18240;1439;6;aI;;time;t aI m;;;;;;;
19680;719;6;m;;time;t aI m;;;;;;;
20400;719;7;w;;with;w I D;;;;;;;
21120;719;7;I;;with;w I D;;;;;;;
21840;719;7;D;;with;w I D;;;;;;;
22560;1439;-1;<p:>;;;;;;;;;;
24000;719;8;w;;World;w 3` l d;;;;;;;
24720;1679;8;3`;;World;w 3` l d;;;;;;;
26400;719;8;l;;World;w 3` l d;;;;;;;
27120;719;9;R;;Wrestling;R E s l I N;;;;;;;
27840;719;9;E;;Wrestling;R E s l I N;;;;;;;
28560;719;9;s;;Wrestling;R E s l I N;;;;;;;
29280;719;9;l;;Wrestling;R E s l I N;;;;;;;
30000;719;9;I;;Wrestling;R E s l I N;;;;;;;
30720;719;9;N;;Wrestling;R E s l I N;;;;;;;
31440;959;10;E;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
32400;719;10;n;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
33120;719;10;t;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
33840;1199;10;3`;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
35040;719;10;t;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
35760;959;10;eI;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
36720;719;10;n;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
37440;719;10;m;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
38160;719;10;V;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
38880;719;10;n;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
39600;959;11;d;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
40560;1199;11;V;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
41760;1679;11;b;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
43440;719;11;l;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
44160;1679;11;j;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
45840;719;11;u;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
46560;719;11;d;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
47280;719;11;V;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
48000;719;11;b;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
48720;719;11;l;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
49440;1439;11;j;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
50880;959;11;u:;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
51840;959;11;i:;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
52800;2639;-1;<p:>;;;;;;;;;;
55440;719;12;w;;where;w E R;;;;;;;
56160;719;12;E;;where;w E R;;;;;;;
56880;719;12;R;;where;w E R;;;;;;;
57600;1439;13;i:;;he;h i:;;;;;;;
59040;1199;-1;<p:>;;;;;;;;;;
60240;719;14;R;;wrestled;R E s V l d;;;;;;;
60960;959;14;E;;wrestled;R E s V l d;;;;;;;
61920;3359;14;s;;wrestled;R E s V l d;;;;;;;
65280;719;14;V;;wrestled;R E s V l d;;;;;;;
66000;719;14;l;;wrestled;R E s V l d;;;;;;;
66720;959;15;{;;as;{ z;;;;;;;
67680;959;15;z;;as;{ z;;;;;;;
68640;719;16;D;;The;D V;;;;;;;
69360;719;16;V;;The;D V;;;;;;;
70080;1679;-1;<p:>;;;;;;;;;;
71760;1439;17;h;;Hurricane;h 3` V k eI n;;;;;;;
73200;2879;17;3`;;Hurricane;h 3` V k eI n;;;;;;;
76080;719;17;V;;Hurricane;h 3` V k eI n;;;;;;;
76800;1679;17;k;;Hurricane;h 3` V k eI n;;;;;;;
78480;1199;17;eI;;Hurricane;h 3` V k eI n;;;;;;;
79680;3839;17;n;;Hurricane;h 3` V k eI n;;;;;;;
83520;5519;-1;<p:>;;;;;;;;;;
89040;719;18;g;;Gregory;g R E g 3` i:;;;;;;;
89760;719;18;R;;Gregory;g R E g 3` i:;;;;;;;
90480;719;18;E;;Gregory;g R E g 3` i:;;;;;;;
