method,data_size,seed,val_bleu,val_chrf,test_bleu,test_chrf,training_time_seconds,training_time_minutes,gpu_memory_gb,trainable_params,effective_batch_size,learning_rate
lora,1000,456,0.4950870694587065,70.53981181894859,0.49008621113856493,71.17717696843854,323.9028067588806,5.39838011264801,1.3080135679999998,4718592,16,0.0005
lora,2000,456,0.5336902933502734,73.2770763906962,0.5315509428587328,73.76950399574625,633.9096026420593,10.565160044034322,1.2910684160000003,4718592,16,0.0005
lora,4000,456,0.5489324607835966,74.07837318900465,0.5447028628943208,74.66466158022062,1275.195163011551,21.253252716859183,4.096000000508582e-06,4718592,16,0.0005
lora,6000,456,0.5708862327798448,75.54522873459058,0.5710929692503803,76.20193049754795,1905.9873869419098,31.76645644903183,4.096000000508582e-06,4718592,16,0.0005
lora,8000,456,0.5870883902067394,76.67093144257795,0.5867816471147581,77.26764832741398,2555.707095384598,42.59511825640996,0.0,4718592,16,0.0005
lora,10000,456,0.5977983559161016,77.22647926034392,0.5933484129163759,77.78217785095131,3158.092779636383,52.63487966060639,0.0,4718592,16,0.0005
lora,13935,456,0.6138794518970236,78.00076980877988,0.6150615605950646,78.98534543904564,4441.469748020172,74.0244958003362,0.0,4718592,16,0.0005
