Word,Duration,Surprisal
seeing,0.0309875,16.656271222376976
the,0.039466666666666664,12.117383366931483
helicopters,0.0749625,16.005324833721602
on,0.011991666666666666,15.023147905893026
the,0.039466666666666664,4.181198606492488
morning,0.032975,11.400462775562739
of,0.005991666666666667,10.600626057981577
5,0,11.300597701226698
january,0.055466666666666664,13.24436383512051
",",0,11.337064338684742
they,0.03149166666666667,8.178366415006844
realized,0.054474999999999996,14.519574828892553
the,0.039466666666666664,13.701674670457965
americans,0.06346249999999999,12.420362333000446
would,0.012487500000000002,14.439917436163132
not,0.02099166666666667,8.786793204494701
remain,0.03698333333333334,14.524806951960837
in,0.011991666666666668,11.025572167469578
the,0.039466666666666664,3.240696558543692
city,0.029983333333333334,8.026137844457025
much,0.0299875,16.05697633617822
longer,0.043979166666666666,13.454127901277449
.,0,13.219254968917165
<e>,0,3.3350552542797596
