BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3119;-1;<p:>;;;;;;;;;;
3120;719;0;D;;The;D V;;;;;;;
3840;1199;0;V;;The;D V;;;;;;;
5040;2399;1;s;;studio;s t u: d i: @U;;;;;;;
7440;1439;1;t;;studio;s t u: d i: @U;;;;;;;
8880;1679;1;u;;studio;s t u: d i: @U;;;;;;;
10560;719;1;d;;studio;s t u: d i: @U;;;;;;;
11280;2399;1;i:;;studio;s t u: d i: @U;;;;;;;
13680;3359;1;@U;;studio;s t u: d i: @U;;;;;;;
17040;2639;2;s;;soon;s u: n;;;;;;;
19680;1199;2;u;;soon;s u: n;;;;;;;
20880;959;2;n;;soon;s u: n;;;;;;;
21840;1679;3;V;;approached;V p R @U tS t;;;;;;;
23520;2639;3;p;;approached;V p R @U tS t;;;;;;;
26160;1199;3;R;;approached;V p R @U tS t;;;;;;;
27360;1679;3;@U;;approached;V p R @U tS t;;;;;;;
29040;2399;3;tS;;approached;V p R @U tS t;;;;;;;
31440;1439;3;t;;approached;V p R @U tS t;;;;;;;
32880;1919;4;m;;Mendes;m eI n d E s;;;;;;;
34800;2159;4;eI;;Mendes;m eI n d E s;;;;;;;
36960;1439;4;n;;Mendes;m eI n d E s;;;;;;;
38400;959;4;d;;Mendes;m eI n d E s;;;;;;;
39360;3839;4;E;;Mendes;m eI n d E s;;;;;;;
43200;2039;4;s;;Mendes;m eI n d E s;;;;;;;
45240;1079;5;w;;with;w I D;;;;;;;
46320;1199;5;I;;with;w I D;;;;;;;
47520;1199;5;D;;with;w I D;;;;;;;
48720;719;6;V;;a;V;;;;;;;
49440;2639;7;d;;deal;d i: l;;;;;;;
52080;3839;7;i:;;deal;d i: l;;;;;;;
55920;1679;7;l;;deal;d i: l;;;;;;;
57600;2639;8;t;;to;t u:;;;;;;;
60240;959;8;I;;to;t u:;;;;;;;
61200;1439;9;d;;direct;d 3` E k t;;;;;;;
62640;3839;9;3`;;direct;d 3` E k t;;;;;;;
66480;1439;9;E;;direct;d 3` E k t;;;;;;;
67920;2399;9;t;;direct;d 3` E k t;;;;;;;
70320;2399;10;f;;for;f O: R;;;;;;;
72720;959;10;6;;for;f O: R;;;;;;;
73680;1199;11;D;;the;D V;;;;;;;
74880;719;11;V;;the;D V;;;;;;;
75600;3119;12;m;;minimum;m I n V m V m;;;;;;;
78720;959;12;I;;minimum;m I n V m V m;;;;;;;
79680;719;12;n;;minimum;m I n V m V m;;;;;;;
80400;959;12;V;;minimum;m I n V m V m;;;;;;;
81360;1919;12;m;;minimum;m I n V m V m;;;;;;;
83280;719;12;V;;minimum;m I n V m V m;;;;;;;
84000;1919;12;m;;minimum;m I n V m V m;;;;;;;
85920;3359;13;s;;salary;s { l 3` i:;;;;;;;
89280;2639;13;{;;salary;s { l 3` i:;;;;;;;
91920;1919;13;l;;salary;s { l 3` i:;;;;;;;
93840;2159;13;3`;;salary;s { l 3` i:;;;;;;;
96000;3359;13;i:;;salary;s { l 3` i:;;;;;;;
99360;1439;14;V;;allowed;V l aU d;;;;;;;
100800;2639;14;l;;allowed;V l aU d;;;;;;;
103440;3839;14;aU;;allowed;V l aU d;;;;;;;
107280;719;14;d;;allowed;V l aU d;;;;;;;
108000;2399;15;V;;under;V n d 3`;;;;;;;
110400;959;15;n;;under;V n d 3`;;;;;;;
111360;959;15;d;;under;V n d 3`;;;;;;;
112320;1439;15;3`;;under;V n d 3`;;;;;;;
113760;1919;16;d;;Directors;d aI R E k t 3` z;;;;;;;
115680;959;16;aI;;Directors;d aI R E k t 3` z;;;;;;;
116640;2399;16;R;;Directors;d aI R E k t 3` z;;;;;;;
119040;1199;16;E;;Directors;d aI R E k t 3` z;;;;;;;
120240;2159;16;t;;Directors;d aI R E k t 3` z;;;;;;;
122400;2639;16;3`;;Directors;d aI R E k t 3` z;;;;;;;
125040;2159;16;z;;Directors;d aI R E k t 3` z;;;;;;;
127200;1919;17;g;;Guild;g I l d;;;;;;;
129120;1199;17;I;;Guild;g I l d;;;;;;;
130320;1919;17;l;;Guild;g I l d;;;;;;;
132240;1199;17;d;;Guild;g I l d;;;;;;;
133440;719;18;V;;of;V v;;;;;;;
134160;1679;18;v;;of;V v;;;;;;;
