BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3599;-1;<p:>;;;;;;;;;;
3600;2399;0;s;;Seeing;s i: I N;;;;;;;
6000;3119;0;i:;;Seeing;s i: I N;;;;;;;
9120;1919;0;N;;Seeing;s i: I N;;;;;;;
11040;959;1;D;;the;D V;;;;;;;
12000;959;1;V;;the;D V;;;;;;;
12960;2879;2;h\;;helicopters;h E l I k Q p t 3` z;;;;;;;
15840;719;2;E;;helicopters;h E l I k Q p t 3` z;;;;;;;
16560;1679;2;l;;helicopters;h E l I k Q p t 3` z;;;;;;;
18240;1199;2;I;;helicopters;h E l I k Q p t 3` z;;;;;;;
19440;2879;2;k;;helicopters;h E l I k Q p t 3` z;;;;;;;
22320;2159;2;Q;;helicopters;h E l I k Q p t 3` z;;;;;;;
24480;2159;2;t;;helicopters;h E l I k Q p t 3` z;;;;;;;
26640;2399;2;3`;;helicopters;h E l I k Q p t 3` z;;;;;;;
29040;1919;2;z;;helicopters;h E l I k Q p t 3` z;;;;;;;
30960;1919;3;Q;;on;Q n;;;;;;;
32880;959;3;n;;on;Q n;;;;;;;
33840;719;4;D;;the;D V;;;;;;;
34560;719;4;V;;the;D V;;;;;;;
35280;2639;5;m;;morning;m O: R n I N;;;;;;;
37920;1919;5;O:;;morning;m O: R n I N;;;;;;;
39840;1199;5;R;;morning;m O: R n I N;;;;;;;
41040;719;5;n;;morning;m O: R n I N;;;;;;;
41760;719;5;I;;morning;m O: R n I N;;;;;;;
42480;719;5;N;;morning;m O: R n I N;;;;;;;
43200;719;6;V;;of;V v;;;;;;;
43920;719;6;v;;of;V v;;;;;;;
44640;719;7;f;;five;f aI v;;;;;;;
45360;959;7;aI;;five;f aI v;;;;;;;
46320;719;7;v;;five;f aI v;;;;;;;
47040;2159;8;dZ;;January;dZ { n j u: E R i:;;;;;;;
49200;2639;8;{;;January;dZ { n j u: E R i:;;;;;;;
51840;959;8;n;;January;dZ { n j u: E R i:;;;;;;;
52800;959;8;j;;January;dZ { n j u: E R i:;;;;;;;
53760;1679;8;u:;;January;dZ { n j u: E R i:;;;;;;;
55440;1199;8;E;;January;dZ { n j u: E R i:;;;;;;;
56640;1439;8;R;;January;dZ { n j u: E R i:;;;;;;;
58080;2279;8;i:;;January;dZ { n j u: E R i:;;;;;;;
60360;2759;9;D;;they;D eI;;;;;;;
63120;4799;9;E;;they;D eI;;;;;;;
67920;13199;-1;<p:>;;;;;;;;;;
81120;2879;10;R;;realized;R i: V l aI z d;;;;;;;
84000;1679;10;i:;;realized;R i: V l aI z d;;;;;;;
85680;719;10;V;;realized;R i: V l aI z d;;;;;;;
86400;2159;10;l;;realized;R i: V l aI z d;;;;;;;
88560;3599;10;aI;;realized;R i: V l aI z d;;;;;;;
92160;2039;10;z;;realized;R i: V l aI z d;;;;;;;
94200;3239;11;D;;the;D V;;;;;;;
97440;1199;11;V;;the;D V;;;;;;;
98640;719;12;V;;Americans;V m E R I k V n z;;;;;;;
99360;1439;12;m;;Americans;V m E R I k V n z;;;;;;;
100800;2639;12;E;;Americans;V m E R I k V n z;;;;;;;
103440;1199;12;R;;Americans;V m E R I k V n z;;;;;;;
104640;719;12;I;;Americans;V m E R I k V n z;;;;;;;
105360;3359;12;k;;Americans;V m E R I k V n z;;;;;;;
108720;719;12;V;;Americans;V m E R I k V n z;;;;;;;
109440;2639;12;n;;Americans;V m E R I k V n z;;;;;;;
112080;1799;12;z;;Americans;V m E R I k V n z;;;;;;;
113880;1079;13;w;;would;w U d;;;;;;;
114960;959;13;U;;would;w U d;;;;;;;
115920;959;13;d;;would;w U d;;;;;;;
116880;959;14;n;;not;n Q t;;;;;;;
117840;4079;14;Q;;not;n Q t;;;;;;;
121920;2639;15;R;;remain;R I m eI n;;;;;;;
124560;1679;15;m;;remain;R I m eI n;;;;;;;
126240;3839;15;eI;;remain;R I m eI n;;;;;;;
130080;719;15;n;;remain;R I m eI n;;;;;;;
130800;1439;16;I;;in;I n;;;;;;;
132240;1439;16;n;;in;I n;;;;;;;
133680;719;17;D;;the;D V;;;;;;;
134400;959;17;V;;the;D V;;;;;;;
135360;3119;18;s;;city;s I t i:;;;;;;;
138480;1199;18;I;;city;s I t i:;;;;;;;
139680;959;18;4;;city;s I t i:;;;;;;;
140640;1919;18;i:;;city;s I t i:;;;;;;;
142560;1679;19;m;;much;m V tS;;;;;;;
144240;1919;19;V;;much;m V tS;;;;;;;
146160;3599;19;tS;;much;m V tS;;;;;;;
149760;959;20;l;;longer;l O: N g 3`;;;;;;;
150720;2879;20;O:;;longer;l O: N g 3`;;;;;;;
153600;1679;20;N;;longer;l O: N g 3`;;;;;;;
155280;959;20;g;;longer;l O: N g 3`;;;;;;;
156240;4079;20;3`;;longer;l O: N g 3`;;;;;;;
160320;21695;-1;<p:>;;;;;;;;;;
