BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2639;-1;<p:>;;;;;;;;;;
2640;1439;0;D;;The;D V;;;;;;;
4080;959;0;V;;The;D V;;;;;;;
5040;3119;1;t;;Tetrarchs;t E t R Q R k s;;;;;;;
8160;1679;1;E;;Tetrarchs;t E t R Q R k s;;;;;;;
9840;2399;1;t;;Tetrarchs;t E t R Q R k s;;;;;;;
12240;959;1;R;;Tetrarchs;t E t R Q R k s;;;;;;;
13200;719;1;Q;;Tetrarchs;t E t R Q R k s;;;;;;;
13920;1439;1;R;;Tetrarchs;t E t R Q R k s;;;;;;;
15360;1439;1;k;;Tetrarchs;t E t R Q R k s;;;;;;;
16800;1679;1;s;;Tetrarchs;t E t R Q R k s;;;;;;;
18480;959;2;V;;of;V v;;;;;;;
19440;1199;2;v;;of;V v;;;;;;;
20640;1439;3;V;;A;V;;;;;;;
22080;4559;4;k;;Squadron;s k w Q d R V n;;;;;;;
26640;959;4;w;;Squadron;s k w Q d R V n;;;;;;;
27600;2879;4;Q;;Squadron;s k w Q d R V n;;;;;;;
30480;1439;4;d;;Squadron;s k w Q d R V n;;;;;;;
31920;1919;4;R;;Squadron;s k w Q d R V n;;;;;;;
33840;719;4;V;;Squadron;s k w Q d R V n;;;;;;;
34560;959;4;n;;Squadron;s k w Q d R V n;;;;;;;
35520;959;5;w;;were;w i: R;;;;;;;
36480;959;5;i:;;were;w i: R;;;;;;;
37440;1679;5;R;;were;w i: R;;;;;;;
39120;1679;6;t;;to;t u:;;;;;;;
40800;1919;6;u:;;to;t u:;;;;;;;
42720;1679;7;p;;play;p l eI;;;;;;;
44400;719;7;l;;play;p l eI;;;;;;;
45120;2159;7;eI;;play;p l eI;;;;;;;
47280;1439;8;{;;an;{ n;;;;;;;
48720;1199;8;n;;an;{ n;;;;;;;
49920;3119;9;I;;integral;I n t V g R V l;;;;;;;
53040;959;9;n;;integral;I n t V g R V l;;;;;;;
54000;1439;9;t;;integral;I n t V g R V l;;;;;;;
55440;719;9;V;;integral;I n t V g R V l;;;;;;;
56160;1679;9;g;;integral;I n t V g R V l;;;;;;;
57840;719;9;R;;integral;I n t V g R V l;;;;;;;
58560;719;9;V;;integral;I n t V g R V l;;;;;;;
59280;959;9;l;;integral;I n t V g R V l;;;;;;;
60240;1439;-1;<p:>;;;;;;;;;;
61680;2399;10;p;;part;p Q R t;;;;;;;
64080;1919;10;Q;;part;p Q R t;;;;;;;
66000;1919;10;R;;part;p Q R t;;;;;;;
67920;1439;10;t;;part;p Q R t;;;;;;;
69360;1919;11;I;;in;I n;;;;;;;
71280;959;11;n;;in;I n;;;;;;;
72240;719;12;D;;this;D I s;;;;;;;
72960;1439;12;I;;this;D I s;;;;;;;
74400;2639;12;s;;this;D I s;;;;;;;
77040;1199;13;R;;reconnaissance;R i: k Q n V s V n s;;;;;;;
78240;959;13;i:;;reconnaissance;R i: k Q n V s V n s;;;;;;;
79200;2879;13;k;;reconnaissance;R i: k Q n V s V n s;;;;;;;
82080;1919;13;Q;;reconnaissance;R i: k Q n V s V n s;;;;;;;
84000;719;13;n;;reconnaissance;R i: k Q n V s V n s;;;;;;;
84720;2159;13;V;;reconnaissance;R i: k Q n V s V n s;;;;;;;
86880;1919;13;s;;reconnaissance;R i: k Q n V s V n s;;;;;;;
88800;719;13;V;;reconnaissance;R i: k Q n V s V n s;;;;;;;
89520;1679;13;n;;reconnaissance;R i: k Q n V s V n s;;;;;;;
91200;2399;13;s;;reconnaissance;R i: k Q n V s V n s;;;;;;;
93600;1919;14;R;;role;R @U l;;;;;;;
95520;3119;14;@U;;role;R @U l;;;;;;;
98640;2399;14;l;;role;R @U l;;;;;;;
101040;1919;15;d;;due;d u:;;;;;;;
102960;2639;15;u;;due;d u:;;;;;;;
105600;1919;16;t;;to;t u:;;;;;;;
107520;959;16;I;;to;t u:;;;;;;;
108480;959;17;D;;their;D E R;;;;;;;
109440;1199;17;E;;their;D E R;;;;;;;
110640;1199;17;R;;their;D E R;;;;;;;
111840;3599;18;s;;speed;s p i: d;;;;;;;
115440;959;18;p;;speed;s p i: d;;;;;;;
116400;5999;18;i:;;speed;s p i: d;;;;;;;
122400;959;18;d;;speed;s p i: d;;;;;;;
123360;5519;-1;<p:>;;;;;;;;;;
128880;959;19;b;;but;b V t;;;;;;;
129840;1199;19;V;;but;b V t;;;;;;;
131040;959;19;t;;but;b V t;;;;;;;
132000;959;20;D;;the;D V;;;;;;;
132960;1799;20;V;;the;D V;;;;;;;
134760;1559;21;s;;squadron;s k w Q d R V n;;;;;;;
136320;1919;21;k;;squadron;s k w Q d R V n;;;;;;;
138240;959;21;w;;squadron;s k w Q d R V n;;;;;;;
139200;2399;21;Q;;squadron;s k w Q d R V n;;;;;;;
141600;1199;21;d;;squadron;s k w Q d R V n;;;;;;;
142800;1199;21;R;;squadron;s k w Q d R V n;;;;;;;
144000;959;21;V;;squadron;s k w Q d R V n;;;;;;;
144960;4079;21;n;;squadron;s k w Q d R V n;;;;;;;
149040;2159;22;s;;s;s;;;;;;;
151200;1439;23;s;;strength;s t R E N k T;;;;;;;
152640;1199;23;t;;strength;s t R E N k T;;;;;;;
153840;1439;23;R;;strength;s t R E N k T;;;;;;;
155280;719;23;E;;strength;s t R E N k T;;;;;;;
156000;959;23;N;;strength;s t R E N k T;;;;;;;
156960;719;23;k;;strength;s t R E N k T;;;;;;;
157680;1199;23;T;;strength;s t R E N k T;;;;;;;
158880;719;24;V;;of;V v;;;;;;;
159600;959;24;v;;of;V v;;;;;;;
160560;3359;25;t;;twenty;t w E n t i:;;;;;;;
