method,data_size,seed,val_bleu,val_chrf,test_bleu,test_chrf,training_time_seconds,training_time_minutes,gpu_memory_gb,trainable_params,effective_batch_size,learning_rate
lora,1000,42,0.49769369121421314,70.80695232550272,0.4923986267020473,71.45411707114508,359.6289572715759,5.993815954526266,1.3080135679999998,4718592,16,0.0005
lora,2000,42,0.5297977920388085,73.08593877127296,0.5303536020219141,73.82521418967765,684.2216832637787,11.403694721062978,1.2918876160000003,4718592,16,0.0005
lora,4000,42,0.5492948769793952,74.18689140182359,0.5449334958236531,74.7544574831014,1374.6874468326569,22.911457447210946,4.095999999620403e-06,4718592,16,0.0005
lora,6000,42,0.5748670346855714,75.93388631452527,0.5750819760897847,76.6623513295527,2070.398717880249,34.50664529800415,4.096000000508582e-06,4718592,16,0.0005
lora,8000,42,0.5931010117945983,76.80453314339513,0.5864772783563231,77.18951376963676,2754.2035870552063,45.90339311758677,4.096000000508582e-06,4718592,16,0.0005
lora,10000,42,0.6026057251547013,77.37661806137244,0.5955396659582861,78.00205650623768,3468.1951293945312,57.80325215657552,0.0,4718592,16,0.0005
lora,13935,42,0.6112954205564117,77.99754030342113,0.6113368485880164,78.66708651104746,4826.061203956604,80.43435339927673,0.0,4718592,16,0.0005
