time,size
0.0,100
0.0,110
0.0,120
0.0,130
0.0,140
0.00402522087097168,150
0.0,160
0.0005335807800292969,170
0.0011661052703857422,180
0.0007758140563964844,190
0.0010175704956054688,200
0.0009870529174804688,210
0.0014569759368896484,220
0.0010013580322265625,230
0.0016999244689941406,240
0.003000497817993164,250
0.0015854835510253906,260
0.0008008480072021484,270
0.0037446022033691406,280
0.0019915103912353516,290
0.0023603439331054688,300
0.0027008056640625,310
0.003003358840942383,320
0.003308534622192383,330
0.004121065139770508,340
0.0017323493957519531,350
0.0034894943237304688,360
0.003942966461181641,370
0.002282381057739258,380
0.0058705806732177734,390
0.0035436153411865234,400
0.0057904720306396484,410
0.006308317184448242,420
0.005795001983642578,430
0.005350589752197266,440
0.005265235900878906,450
0.006665468215942383,460
0.00446319580078125,470
0.005978584289550781,480
0.007699489593505859,490
0.007385730743408203,500
0.00546574592590332,510
0.012264251708984375,520
0.008278608322143555,530
0.01003718376159668,540
0.009570837020874023,550
0.00956106185913086,560
0.010187864303588867,570
0.012077808380126953,580
0.011582374572753906,590
0.010833024978637695,600
0.011202812194824219,610
0.012096881866455078,620
0.012583732604980469,630
0.01390385627746582,640
0.010208845138549805,650
0.017458438873291016,660
0.012520074844360352,670
0.018222332000732422,680
0.015288829803466797,690
0.016726970672607422,700
0.014998435974121094,710
0.01968860626220703,720
0.016855239868164062,730
0.017695903778076172,740
0.021142244338989258,750
0.017966032028198242,760
0.018618345260620117,770
0.01777791976928711,780
0.024222373962402344,790
0.022073745727539062,800
0.022671222686767578,810
0.023591041564941406,820
0.021762371063232422,830
0.027161836624145508,840
0.026694774627685547,850
0.025263071060180664,860
0.02574634552001953,870
0.025827646255493164,880
0.03124833106994629,890
0.03020453453063965,900
0.02768111228942871,910
0.02635359764099121,920
0.032387733459472656,930
0.031084299087524414,940
0.030444622039794922,950
0.03164529800415039,960
0.03374171257019043,970
0.033007144927978516,980
0.0360865592956543,990
0.03643226623535156,1000
0.03821587562561035,1010
0.035555124282836914,1020
0.04260110855102539,1030
0.03601360321044922,1040
0.042389631271362305,1050
0.039769649505615234,1060
0.03870344161987305,1070
0.04303097724914551,1080
0.044051170349121094,1090
