Word,Duration,Surprisal
the,69.91666666666667,4.944174171289428
genus,469.79166666666663,11.08249269424406
was,154.875,14.025939779916692
named,254.83333333333334,8.967020350744459
for,329.8333333333333,11.13052766311792
attalus,559.7083333333333,19.352601696352135
iii,119.875,19.352601696352135
philometor,639.6666666666666,19.352601696352135
",",0,19.352601696352135
king,219.875,11.813602122209222
of,79.91666666666667,9.421292008804656
pergamon,569.7083333333333,19.352601696352135
",",0,19.352601696352135
known,229.875,10.695765631915364
for,329.8333333333333,9.33530527507835
his,109.91666666666667,8.008805677546667
interest,479.66666666666663,12.50541079204184
in,99.91666666666667,9.245660736885176
medicinal,479.62499999999994,19.352601696352135
plants,569.75,19.352601696352135
.,0,13.024252315890978
<e>,0,3.3358861354883906
