BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3359;-1;<p:>;;;;;;;;;;
3360;2639;0;s;;Several;s E v R V l;;;;;;;
6000;1679;0;E;;Several;s E v R V l;;;;;;;
7680;1439;0;v;;Several;s E v R V l;;;;;;;
9120;959;0;R;;Several;s E v R V l;;;;;;;
10080;959;0;V;;Several;s E v R V l;;;;;;;
11040;719;0;l;;Several;s E v R V l;;;;;;;
11760;1439;1;g;;government;g V v 3` m V n t;;;;;;;
13200;1919;1;V;;government;g V v 3` m V n t;;;;;;;
15120;959;1;v;;government;g V v 3` m V n t;;;;;;;
16080;1439;1;3`;;government;g V v 3` m V n t;;;;;;;
17520;1439;1;m;;government;g V v 3` m V n t;;;;;;;
18960;719;1;V;;government;g V v 3` m V n t;;;;;;;
19680;1799;1;n;;government;g V v 3` m V n t;;;;;;;
21480;3239;2;eI;;agencies;eI dZ V n s i: z;;;;;;;
24720;2159;2;dZ;;agencies;eI dZ V n s i: z;;;;;;;
26880;719;2;V;;agencies;eI dZ V n s i: z;;;;;;;
27600;1919;2;n;;agencies;eI dZ V n s i: z;;;;;;;
29520;2159;2;s;;agencies;eI dZ V n s i: z;;;;;;;
31680;4079;2;i:;;agencies;eI dZ V n s i: z;;;;;;;
35760;1919;2;z;;agencies;eI dZ V n s i: z;;;;;;;
37680;959;3;h;;have;h { v;;;;;;;
38640;959;3;{;;have;h { v;;;;;;;
39600;719;3;v;;have;h { v;;;;;;;
40320;2879;4;s;;set;s E t;;;;;;;
43200;1679;4;E;;set;s E t;;;;;;;
44880;959;4;4;;set;s E t;;;;;;;
45840;1679;5;V;;up;V p;;;;;;;
47520;1919;5;p;;up;V p;;;;;;;
49440;719;6;D;;their;D E R;;;;;;;
50160;959;6;E;;their;D E R;;;;;;;
51120;1199;6;R;;their;D E R;;;;;;;
52320;2159;7;h;;headquarters;h E d k w O: R t 3` z;;;;;;;
54480;1439;7;E;;headquarters;h E d k w O: R t 3` z;;;;;;;
55920;2159;7;d;;headquarters;h E d k w O: R t 3` z;;;;;;;
58080;1439;7;k;;headquarters;h E d k w O: R t 3` z;;;;;;;
59520;719;7;w;;headquarters;h E d k w O: R t 3` z;;;;;;;
60240;959;7;O:;;headquarters;h E d k w O: R t 3` z;;;;;;;
61200;719;7;R;;headquarters;h E d k w O: R t 3` z;;;;;;;
61920;719;7;t;;headquarters;h E d k w O: R t 3` z;;;;;;;
62640;3119;7;3`;;headquarters;h E d k w O: R t 3` z;;;;;;;
65760;1679;7;z;;headquarters;h E d k w O: R t 3` z;;;;;;;
67440;1679;8;I;;in;I n;;;;;;;
69120;1919;8;n;;in;I n;;;;;;;
71040;1679;9;k;;Quezon;k w I z Q n;;;;;;;
72720;719;9;w;;Quezon;k w I z Q n;;;;;;;
73440;1919;9;I;;Quezon;k w I z Q n;;;;;;;
75360;2399;9;z;;Quezon;k w I z Q n;;;;;;;
77760;2159;9;Q;;Quezon;k w I z Q n;;;;;;;
79920;1919;9;n;;Quezon;k w I z Q n;;;;;;;
81840;2879;10;s;;City;s I t i:;;;;;;;
84720;1199;10;I;;City;s I t i:;;;;;;;
85920;959;10;4;;City;s I t i:;;;;;;;
86880;3359;10;i:;;City;s I t i:;;;;;;;
90240;3599;-1;<p:>;;;;;;;;;;
93840;1919;11;b;;but;b V t;;;;;;;
95760;1199;11;V;;but;b V t;;;;;;;
96960;2159;11;t;;but;b V t;;;;;;;
99120;1439;12;s;;several;s E v R V l;;;;;;;
100560;1919;12;E;;several;s E v R V l;;;;;;;
102480;959;12;v;;several;s E v R V l;;;;;;;
103440;719;12;R;;several;s E v R V l;;;;;;;
104160;719;12;V;;several;s E v R V l;;;;;;;
104880;719;12;l;;several;s E v R V l;;;;;;;
105600;1199;-1;<p:>;;;;;;;;;;
106800;1919;13;k;;key;k i:;;;;;;;
108720;1919;13;i:;;key;k i:;;;;;;;
110640;2159;14;g;;government;g V v 3` m V n t;;;;;;;
112800;2159;14;V;;government;g V v 3` m V n t;;;;;;;
114960;959;14;v;;government;g V v 3` m V n t;;;;;;;
115920;1199;14;3`;;government;g V v 3` m V n t;;;;;;;
117120;1439;14;m;;government;g V v 3` m V n t;;;;;;;
118560;719;14;V;;government;g V v 3` m V n t;;;;;;;
119280;959;14;n;;government;g V v 3` m V n t;;;;;;;
120240;3119;15;Q;;offices;O: f V s I z;;;;;;;
123360;1919;15;f;;offices;O: f V s I z;;;;;;;
125280;1439;15;V;;offices;O: f V s I z;;;;;;;
126720;2639;15;s;;offices;O: f V s I z;;;;;;;
129360;2639;15;I;;offices;O: f V s I z;;;;;;;
132000;1199;15;z;;offices;O: f V s I z;;;;;;;
133200;2159;16;s;;still;s t I l;;;;;;;
135360;1199;16;t;;still;s t I l;;;;;;;
136560;719;16;I;;still;s t I l;;;;;;;
137280;1679;16;l;;still;s t I l;;;;;;;
138960;1199;17;R;;reside;R I z aI d;;;;;;;
140160;1679;17;I;;reside;R I z aI d;;;;;;;
141840;1439;17;z;;reside;R I z aI d;;;;;;;
143280;4319;17;aI;;reside;R I z aI d;;;;;;;
147600;959;17;d;;reside;R I z aI d;;;;;;;
148560;1439;18;I;;in;I n;;;;;;;
150000;1199;18;n;;in;I n;;;;;;;
151200;719;19;m;;Manila;m V n I l V;;;;;;;
151920;959;19;V;;Manila;m V n I l V;;;;;;;
152880;1679;19;n;;Manila;m V n I l V;;;;;;;
154560;1679;19;I;;Manila;m V n I l V;;;;;;;
156240;2159;19;l;;Manila;m V n I l V;;;;;;;
158400;2879;19;V;;Manila;m V n I l V;;;;;;;
161280;21887;-1;<p:>;;;;;;;;;;
