BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3599;-1;<p:>;;;;;;;;;;
3600;1679;0;h;;Howard;h aU 3` d;;;;;;;
5280;2879;0;aU;;Howard;h aU 3` d;;;;;;;
8160;2879;0;3`;;Howard;h aU 3` d;;;;;;;
11040;959;0;d;;Howard;h aU 3` d;;;;;;;
12000;719;1;w;;was;w Q z;;;;;;;
12720;1199;1;Q;;was;w Q z;;;;;;;
13920;1439;1;z;;was;w Q z;;;;;;;
15360;2639;2;Q;;also;O: l s @U;;;;;;;
18000;2159;2;l;;also;O: l s @U;;;;;;;
20160;1679;2;s;;also;O: l s @U;;;;;;;
21840;1679;2;@U;;also;O: l s @U;;;;;;;
23520;1199;-1;<p:>;;;;;;;;;;
24720;2159;3;k;;clutch;k l V tS;;;;;;;
26880;719;3;l;;clutch;k l V tS;;;;;;;
27600;1679;3;V;;clutch;k l V tS;;;;;;;
29280;3119;3;tS;;clutch;k l V tS;;;;;;;
32400;1199;4;I;;in;I n;;;;;;;
33600;959;4;n;;in;I n;;;;;;;
34560;719;5;D;;their;D E R;;;;;;;
35280;1199;5;E;;their;D E R;;;;;;;
36480;959;5;R;;their;D E R;;;;;;;
37440;1679;6;n;;next;n E k s t;;;;;;;
39120;2159;6;E;;next;n E k s t;;;;;;;
41280;2399;6;k;;next;n E k s t;;;;;;;
43680;2399;6;s;;next;n E k s t;;;;;;;
46080;1439;7;g;;game;g eI m;;;;;;;
47520;5519;7;eI;;game;g eI m;;;;;;;
53040;1919;7;m;;game;g eI m;;;;;;;
54960;5759;-1;<p:>;;;;;;;;;;
60720;959;8;h;;hitting;h I t I N;;;;;;;
61680;959;8;I;;hitting;h I t I N;;;;;;;
62640;959;8;4;;hitting;h I t I N;;;;;;;
63600;959;8;I;;hitting;h I t I N;;;;;;;
64560;1679;8;N;;hitting;h I t I N;;;;;;;
66240;1439;9;V;;a;V;;;;;;;
67680;3359;10;f;;free;f R i:;;;;;;;
71040;959;10;R;;free;f R i:;;;;;;;
72000;2159;10;i:;;free;f R i:;;;;;;;
74160;3359;11;T;;throw;T R @U;;;;;;;
77520;2879;11;R;;throw;T R @U;;;;;;;
80400;5039;11;@U;;throw;T R @U;;;;;;;
85440;3599;-1;<p:>;;;;;;;;;;
89040;719;12;w;;with;w I D;;;;;;;
89760;959;12;I;;with;w I D;;;;;;;
90720;1199;12;D;;with;w I D;;;;;;;
91920;959;13;V;;a;V;;;;;;;
92880;3119;14;l;;less;l E s;;;;;;;
96000;2879;14;E;;less;l E s;;;;;;;
98880;1919;14;s;;less;l E s;;;;;;;
100800;1679;15;D;;than;D { n;;;;;;;
102480;1439;15;I;;than;D { n;;;;;;;
103920;1679;15;n;;than;D { n;;;;;;;
105600;2399;16;w;;one;w V n;;;;;;;
108000;959;16;V;;one;w V n;;;;;;;
108960;1679;16;n;;one;w V n;;;;;;;
110640;2399;17;s;;second;s E k V n d;;;;;;;
113040;2159;17;E;;second;s E k V n d;;;;;;;
115200;1919;17;k;;second;s E k V n d;;;;;;;
117120;719;17;V;;second;s E k V n d;;;;;;;
117840;1559;17;n;;second;s E k V n d;;;;;;;
119400;1559;18;R;;remaining;R I m eI n I N;;;;;;;
120960;719;18;I;;remaining;R I m eI n I N;;;;;;;
121680;1919;18;m;;remaining;R I m eI n I N;;;;;;;
123600;2399;18;eI;;remaining;R I m eI n I N;;;;;;;
126000;959;18;n;;remaining;R I m eI n I N;;;;;;;
126960;1199;18;i:;;remaining;R I m eI n I N;;;;;;;
128160;2159;18;N;;remaining;R I m eI n I N;;;;;;;
130320;1679;19;t;;to;t u:;;;;;;;
132000;959;19;I;;to;t u:;;;;;;;
132960;1439;20;b;;beat;b i: t;;;;;;;
134400;3359;20;i:;;beat;b i: t;;;;;;;
137760;1199;20;t;;beat;b i: t;;;;;;;
138960;3119;21;p;;Pitt;p I t;;;;;;;
142080;3359;21;I;;Pitt;p I t;;;;;;;
145440;2879;21;t;;Pitt;p I t;;;;;;;
148320;1199;22;I;;in;I n;;;;;;;
149520;719;22;n;;in;I n;;;;;;;
150240;959;23;V;;a;V;;;;;;;
151200;2399;24;d;;dramatic;d R V m { t I k;;;;;;;
153600;959;24;R;;dramatic;d R V m { t I k;;;;;;;
154560;719;24;@;;dramatic;d R V m { t I k;;;;;;;
155280;1439;24;m;;dramatic;d R V m { t I k;;;;;;;
156720;2879;24;{;;dramatic;d R V m { t I k;;;;;;;
159600;959;24;4;;dramatic;d R V m { t I k;;;;;;;
160560;1679;24;I;;dramatic;d R V m { t I k;;;;;;;
162240;1679;24;k;;dramatic;d R V m { t I k;;;;;;;
163920;2399;25;f;;finish;f I n I S;;;;;;;
166320;1679;25;I;;finish;f I n I S;;;;;;;
168000;719;25;n;;finish;f I n I S;;;;;;;
168720;3119;25;I;;finish;f I n I S;;;;;;;
171840;5519;25;S;;finish;f I n I S;;;;;;;
177360;20207;-1;<p:>;;;;;;;;;;
