Word,Duration,Surprisal
the,159.83333333333334,4.944174171289428
studio,499.75,11.78293241238515
soon,199.875,19.352601696352135
approached,459.74999999999994,19.352601696352135
mendes,514.75,19.352601696352135
with,144.875,19.352601696352135
a,29.958333333333332,5.727431052088374
deal,339.875,11.948254902776984
to,149.91666666666666,13.026804381060789
direct,379.8333333333333,11.48546218477632
for,139.91666666666666,19.352601696352135
the,159.83333333333334,4.437004424900747
minimum,429.7083333333333,13.782932412385152
salary,559.7916666666666,15.023754353299418
allowed,359.8333333333333,19.352601696352135
under,239.83333333333334,19.352601696352135
directors,559.7083333333333,19.352601696352135
guild,259.8333333333333,14.023862620658619
of,99.91666666666666,12.701024827330754
america,439.70833333333326,10.705854179712956
rules,529.8333333333334,19.352601696352135
—,0,19.352601696352135
$,0,15.04914659603783
150,0,13.453785055496155
@,0,11.218065848350374
",",0,5.376545073961932
@,0,5.969447281948668
000,0,6.2754428788169205
.,0,9.713694117905444
<e>,0,3.3358861354883906
